Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2012-08-28,9.995843887329102,10.118418059761863,9.752296815653915,9.891695324209785,1197108
2012-08-29,10.092780113220215,10.158473147961846,9.942165153693061,9.942165153693061,3954852
2012-08-30,10.004653930664062,10.070346959131392,9.842421626778581,10.019474591333356,2604393
2012-08-31,9.942164421081543,10.084767710776243,9.84562741271986,9.934153518735222,1930896
2012-09-03,9.99183464050293,10.085568473633339,9.880076088446271,10.085568473633339,257796
2012-09-04,9.942164421081543,10.05152068852787,9.894496866944527,10.05152068852787,2299869
2012-09-05,9.771921157836914,9.974208700959231,9.711835239737644,9.95618322808449,561033
2012-09-06,9.86445426940918,9.974210670035525,9.792751736407272,9.869661999057247,2064447
2012-09-07,9.948107719421387,10.02206095180074,9.90082645735959,9.957402046044791,3350655
2012-09-10,9.829296112060547,9.941236263692296,9.79575489139881,9.901228695541365,2407284
2012-09-11,9.71856689453125,9.900015291746758,9.661182457735656,9.85232961150589,868428
2012-09-12,9.596930503845215,9.784439322434267,9.537120985551704,9.718568652508235,3020094
2012-09-13,9.511258125305176,9.828085535314132,9.496709986305861,9.674521591516585,2392830
2012-09-14,9.541970252990723,9.697554053914118,9.457105737239047,9.56944955915757,1575288
2012-09-17,9.664012908935547,9.78767245843982,9.474079019962115,9.545202738567111,8697051
2012-09-18,9.708467483520508,9.820003218540796,9.658357480118106,9.698768723953526,3757050
2012-09-20,9.769891738891602,9.8280842875005,9.456297542835797,9.621177193641898,9880200
2012-09-21,9.895976066589355,10.022060700730513,9.631684493788116,9.769892958610166,14562108
2012-09-24,9.57874584197998,9.957401098452674,9.53712130335878,9.941236755092463,5708340
2012-09-25,9.56460189819336,9.75534467047302,9.430031042481886,9.597335019601676,7846839
2012-09-26,9.582786560058594,9.658356755505972,9.537121506933298,9.57753274773689,4000590
2012-09-27,9.594100952148438,9.779589879905254,9.496304511561988,9.658355411286557,24282324
2012-09-28,9.767868995666504,9.84424727753319,8.97944095690764,9.763424050097694,6001479
2012-10-01,10.020037651062012,10.070552073914643,9.750088660802604,9.778376829169773,2040588
2012-10-03,9.95942211151123,10.183706104093076,9.860818316066087,10.038629152042816,3138894
2012-10-04,9.987711906433105,10.102884497443911,9.900827494268007,9.981649990305936,1814670
2012-10-05,9.89233684539795,10.062469525400877,9.868494385768466,10.02448260004273,625086
2012-10-08,9.904061317443848,10.08672158859481,9.884663793536886,9.887896968548443,3618054
2012-10-09,9.965485572814941,10.00791745924108,9.90890921552604,10.005896820546399,4620528
2012-10-10,9.943256378173828,9.975181391822183,9.860412505364266,9.871323798481791,493812
2012-10-11,10.030141830444336,10.102882520493088,9.900825556856066,10.019231299247723,1490049
2012-10-12,10.053176879882812,10.102882445402653,9.958209169089718,10.003470551282044,1370358
2012-10-15,10.205123901367188,10.263720886197428,9.973566229226012,10.03781993301115,2024451
2012-10-16,10.01478385925293,10.387782333904614,9.941235079203528,10.264527233473842,4446288
